municipio;data;populacaoTCU2019; casos ;obitos
Manaus;09/11/2020;2182763;62;14
Manaus;10/11/2020;2182763;357;2
Manaus;11/11/2020;2182763;316;1
Manaus;12/11/2020;2182763;0;0
Manaus;13/11/2020;2182763;406;22
Manaus;14/11/2020;2182763;322;10
Manaus;15/11/2020;2182763;110;3
Manaus;16/11/2020;2182763;43;2
Manaus;17/11/2020;2182763;492;18
Manaus;18/11/2020;2182763;341;3
Manaus;19/11/2020;2182763;533;5
Manaus;20/11/2020;2182763;352;11
Manaus;21/11/2020;2182763;268;8
Manaus;22/11/2020;2182763;89;8
Manaus;23/11/2020;2182763;47;12
Manaus;24/11/2020;2182763;330;17
Manaus;25/11/2020;2182763;234;2
Manaus;26/11/2020;2182763;371;23
Manaus;27/11/2020;2182763;504;5
Manaus;28/11/2020;2182763;333;4
Manaus;29/11/2020;2182763;90;7
Manaus;30/11/2020;2182763;48;5
Manaus;01/12/2020;2182763;526;0
Manaus;02/12/2020;2182763;248;11
Manaus;03/12/2020;2182763;310;9
Manaus;04/12/2020;2182763;429;3
Manaus;05/12/2020;2182763;375;7
Manaus;06/12/2020;2182763;189;5
Manaus;07/12/2020;2182763;72;11
Manaus;08/12/2020;2182763;506;4
Manaus;09/12/2020;2182763;147;3
Manaus;10/12/2020;2182763;393;4
Manaus;11/12/2020;2182763;349;7
Manaus;12/12/2020;2182763;62;4
Manaus;13/12/2020;2182763;304;2
Manaus;14/12/2020;2182763;165;7
Manaus;15/12/2020;2182763;206;7
Manaus;16/12/2020;2182763;450;4
Manaus;17/12/2020;2182763;357;8
Manaus;18/12/2020;2182763;679;11
Manaus;19/12/2020;2182763;342;11
Manaus;20/12/2020;2182763;158;8
Manaus;21/12/2020;2182763;101;4
Manaus;22/12/2020;2182763;657;11
Manaus;23/12/2020;2182763;434;14
Manaus;24/12/2020;2182763;581;17
Manaus;25/12/2020;2182763;188;8
Manaus;26/12/2020;2182763;89;12
Manaus;27/12/2020;2182763;243;9
Manaus;28/12/2020;2182763;153;10
Manaus;29/12/2020;2182763;908;18
Manaus;30/12/2020;2182763;833;15
Manaus;31/12/2020;2182763;965;19
Manaus;01/01/2021;2182763;457;8
Manaus;02/01/2021;2182763;136;24
Manaus;03/01/2021;2182763;375;15
Manaus;04/01/2021;2182763;254;17
Manaus;05/01/2021;2182763;870;34
Manaus;06/01/2021;2182763;1418;74
Manaus;07/01/2021;2182763;1000;37
Manaus;08/01/2021;2182763;0;0
Manaus;09/01/2021;2182763;2381;103
Manaus;10/01/2021;2182763;461;24
Manaus;11/01/2021;2182763;429;42
Manaus;12/01/2021;2182763;1045;42
Manaus;13/01/2021;2182763;417;56
Manaus;14/01/2021;2182763;2516;36
Manaus;15/01/2021;2182763;1730;83
Manaus;16/01/2021;2182763;1824;56
Manaus;17/01/2021;2182763;862;41
Manaus;18/01/2021;2182763;654;85
Manaus;19/01/2021;2182763;453;100
Manaus;20/01/2021;2182763;3632;114
Manaus;21/01/2021;2182763;655;131
Manaus;22/01/2021;2182763;2919;115
Manaus;23/01/2021;2182763;2315;129
Manaus;24/01/2021;2182763;618;88
Manaus;25/01/2021;2182763;1050;77
Manaus;26/01/2021;2182763;1664;132
Manaus;27/01/2021;2182763;1995;109
Manaus;28/01/2021;2182763;800;79
Manaus;29/01/2021;2182763;1041;76
Manaus;30/01/2021;2182763;3315;183
Manaus;31/01/2021;2182763;656;85
Manaus;01/02/2021;2182763;794;118
Manaus;02/02/2021;2182763;1276;116
Manaus;03/02/2021;2182763;1440;114
Manaus;04/02/2021;2182763;1421;123
Manaus;05/02/2021;2182763;1305;73
Manaus;06/02/2021;2182763;1110;89
Manaus;07/02/2021;2182763;559;55
Manaus;08/02/2021;2182763;471;84
Manaus;09/02/2021;2182763;1185;137
Manaus;10/02/2021;2182763;1552;139
Manaus;11/02/2021;2182763;1337;141
Manaus;12/02/2021;2182763;1572;108
Manaus;13/02/2021;2182763;1003;48
Manaus;14/02/2021;2182763;248;32
Manaus;15/02/2021;2182763;595;98
Manaus;16/02/2021;2182763;862;87
Manaus;17/02/2021;2182763;1105;56
Manaus;18/02/2021;2182763;1390;87
Manaus;19/02/2021;2182763;1074;53
Manaus;20/02/2021;2182763;915;37
Manaus;21/02/2021;2182763;300;37
Manaus;22/02/2021;2182763;712;45
Manaus;23/02/2021;2182763;1033;27
Manaus;24/02/2021;2182763;743;55
Manaus;25/02/2021;2182763;605;71
Manaus;26/02/2021;2182763;852;39
Manaus;27/02/2021;2182763;616;32
Manaus;28/02/2021;2182763;0;17
Manaus;01/03/2021;2182763;397;64
Manaus;02/03/2021;2182763;660;53
Manaus;03/03/2021;2182763;139;58
Manaus;04/03/2021;2182763;181;65
Manaus;05/03/2021;2182763;1572;37
Belo Horizonte;27/03/2020;2512070;0;0
Belo Horizonte;28/03/2020;2512070;129;0
Belo Horizonte;29/03/2020;2512070;14;0
Belo Horizonte;30/03/2020;2512070;20;1
Belo Horizonte;31/03/2020;2512070;0;1
Belo Horizonte;01/04/2020;2512070;25;0
